"precinct","votes_2016","clinton","trump","tot_reg","asian","black","caucasian","hispanic","unknown","pct_latino","pct_clinton","pct_trump","wt","reg_2012","votes_2012","obama","romney","pct_obama","pct_romney","wt_2012"
"08031526",454,320,88,967,15,59,785,100,8,0.103412616,0.704845814977974,0.193832599118943,0.00136800554433965,1029,448,306,115,0.683035714285714,0.256696428571429,0.00145983498650956
"08031527",1282,1039,115,2517,32,349,1207,883,46,0.350814462,0.810452418096724,0.0897035881435257,0.00386295838732034,2548,1218,999,114,0.820197044334975,0.0935960591133005,0.00396892636957287
"08031528",1573,1228,194,2388,31,53,1775,502,27,0.210217755,0.780673871582963,0.123331214240305,0.00473980775604906,2809,1509,1185,244,0.785288270377734,0.161696487740225,0.00491716739875653
"08031529",1256,933,247,1765,19,58,1591,64,33,0.036260623,0.742834394904459,0.196656050955414,0.00378461445746829,1847,1156,792,331,0.685121107266436,0.286332179930796,0.00376689563483271
"08031530",90,68,8,153,3,13,116,20,1,0.130718954,0.755555555555556,0.0888888888888889,0.000271190526410944,252,113,97,10,0.858407079646018,0.0884955752212389,0.000368217306865135
"08031531",1079,831,165,1798,47,58,576,1095,22,0.609010011,0.770157553290083,0.15291936978684,0.0032512730888601,1900,1019,835,115,0.819430814524043,0.112855740922473,0.0033204728822617
"08031532",546,442,58,797,6,14,581,185,11,0.232120452,0.80952380952381,0.106227106227106,0.00164522252689306,777,478,381,65,0.797071129707113,0.135983263598326,0.0015575917936419
"08031533",1022,769,171,1508,53,4,693,743,15,0.49270557,0.752446183953033,0.167318982387476,0.00307951908879983,1499,951,743,158,0.781282860147213,0.166140904311251,0.00309889078609507
"08031534",965,694,179,1382,55,9,584,725,9,0.524602026,0.719170984455959,0.185492227979275,0.00290776508873957,1373,883,678,148,0.767836919592299,0.167610419026048,0.00287730868992844
"08031535",1128,854,193,1583,15,16,697,839,16,0.530006317,0.75709219858156,0.171099290780142,0.0033989212643505,1594,1027,765,201,0.744888023369036,0.195715676728335,0.00334654136416366
"08031536",838,603,181,1212,105,20,462,618,7,0.50990099,0.719570405727924,0.215990453460621,0.00252508512369301,1233,732,538,144,0.734972677595628,0.19672131147541,0.00238526609402901
"08031537",939,665,199,1466,51,49,586,768,12,0.523874488,0.708200212992545,0.211927582534611,0.00282942115888752,1353,832,628,147,0.754807692307692,0.176682692307692,0.00271112211780347
"08031538",780,548,179,1181,79,8,475,601,18,0.508890771,0.702564102564103,0.229487179487179,0.00235031789556151,1224,760,579,134,0.761842105263158,0.176315789473684,0.00247650578068586
"08031539",713,493,155,1092,11,18,548,497,18,0.455128205,0.691444600280505,0.217391304347826,0.00214843161478892,1122,720,547,136,0.759722222222222,0.188888888888889,0.00234616337117608
"08031601",548,445,66,693,8,8,638,28,11,0.04040404,0.812043795620438,0.12043795620438,0.00165124898303553,744,520,412,89,0.792307692307692,0.171153846153846,0.00169445132362717
"08031602",721,580,88,1028,5,132,776,99,16,0.096303502,0.804438280166435,0.122052704576976,0.00217253743935879,1146,721,574,127,0.796116504854369,0.176144244105409,0.00234942193141382
"08031603",797,602,116,1145,6,166,810,150,13,0.131004367,0.755332496863237,0.145545796737767,0.00240154277277247,1198,709,556,123,0.784203102961918,0.173483779971791,0.00231031920856089
"08031604",1093,853,167,2009,42,581,1094,254,38,0.12643106,0.780420860018298,0.152790484903934,0.00329345828185735,2232,1104,921,138,0.834239130434783,0.125,0.00359745050246999
"08031605",750,603,109,881,27,8,796,43,7,0.048808173,0.804,0.145333333333333,0.00225992105342453,1017,749,580,156,0.774365821094793,0.208277703604806,0.00244066161807067
"08031606",851,688,117,1035,6,44,890,85,10,0.082125604,0.808460634547591,0.137485311398355,0.00256425708861904,1198,840,682,137,0.811904761904762,0.163095238095238,0.00273719059970543
"08031607",660,501,117,804,5,22,724,49,4,0.060945274,0.759090909090909,0.177272727272727,0.00198873052701359,841,639,473,153,0.740219092331768,0.23943661971831,0.00208221999191877
"08031608",1183,919,167,1369,18,10,1304,29,8,0.021183346,0.776838546069315,0.14116652578191,0.0035646488082683,1509,1142,824,293,0.7215411558669,0.256567425569177,0.00372127579150428
"08031609",281,222,50,325,4,NA,312,9,NA,0.027692308,0.790035587188612,0.177935943060498,0.000846717088016392,336,263,188,73,0.714828897338403,0.277566539923954,0.000857001342526818
"08031610",359,296,44,418,5,NA,401,11,1,0.026315789,0.824512534818941,0.122562674094708,0.00108174887757254,471,357,255,99,0.714285714285714,0.277310924369748,0.00116330600487481
"08031611",697,531,108,886,16,27,795,42,6,0.047404063,0.761836441893831,0.154949784791966,0.0021002199656492,985,613,437,160,0.712887438825449,0.261011419249592,0.00199749742573741
"08031612",949,740,146,1248,26,37,1092,68,25,0.054487179,0.779768177028451,0.153846153846154,0.00285955343959984,1303,911,692,203,0.7596048298573,0.222832052689352,0.00296854837658529
"08031613",1019,802,152,1241,11,50,1078,88,14,0.070910556,0.787046123650638,0.149165848871443,0.00307047940458613,1330,849,583,240,0.686690223792697,0.282685512367491,0.00276651764184513
"08031614",647,485,122,800,3,45,711,38,3,0.0475,0.749613601236476,0.188562596599691,0.00194955856208756,864,618,439,158,0.710355987055016,0.255663430420712,0.00201379022692614
"08031615",870,633,176,1012,27,35,904,39,7,0.038537549,0.727586206896552,0.202298850574713,0.00262150842197246,976,809,512,283,0.632880098887515,0.349814585908529,0.00263617523233535
"08031616",1094,699,319,1266,9,11,1217,27,2,0.021327014,0.638939670932358,0.291590493601462,0.00329647150992859,1424,1109,584,506,0.526600541027953,0.456266907123535,0.00361374330365871
"08031617",852,530,283,1099,13,3,1057,25,1,0.022747953,0.622065727699531,0.332159624413146,0.00256727031669027,1196,837,479,340,0.572281959378734,0.40621266427718,0.00272741491899219
"08031618",818,502,265,994,10,NA,961,22,1,0.022132797,0.613691931540342,0.323960880195599,0.00246482056226836,1158,795,432,353,0.543396226415094,0.444025157232704,0.00259055538900692
"08031619",813,527,248,983,8,NA,955,18,2,0.018311292,0.648216482164822,0.305043050430504,0.00244975442191219,1165,811,473,324,0.583230579531443,0.399506781750925,0.00264269235281083
"08031620",1004,655,297,1366,10,5,1299,47,5,0.034407028,0.652390438247012,0.295816733067729,0.00302528098351764,1404,821,521,281,0.634591961023143,0.342265529841657,0.00267527795518828
"08031621",984,636,291,1217,23,4,1148,40,2,0.032867707,0.646341463414634,0.295731707317073,0.00296501642209299,1274,813,476,325,0.585485854858549,0.399753997539975,0.00264920947328632
"08031622",1008,720,236,1190,10,3,1170,5,2,0.004201681,0.714285714285714,0.234126984126984,0.00303733389580257,1291,1032,655,361,0.63468992248062,0.349806201550388,0.00336283416535238
"08031623",1126,779,282,1334,12,1,1301,19,1,0.014242879,0.691829484902309,0.25044404973357,0.00339289480820803,1436,1161,659,480,0.567614125753661,0.41343669250646,0.00378318843602143
"08031624",1170,814,273,1382,3,24,1313,37,5,0.026772793,0.695726495726496,0.233333333333333,0.00352547684334227,1489,1161,736,400,0.633936261843239,0.344530577088717,0.00378318843602143
"08031625",733,563,124,901,12,80,757,44,8,0.048834628,0.768076398362892,0.169167803547067,0.00220869617621358,931,708,465,235,0.656779661016949,0.331920903954802,0.00230706064832314
"08031626",710,544,133,935,7,41,836,45,6,0.048128342,0.766197183098592,0.187323943661972,0.00213939193057523,1173,757,538,198,0.710700132100396,0.261558784676354,0.00246673009997263
"08031627",1011,725,242,1209,11,5,1184,7,2,0.005789909,0.717111770524233,0.239366963402572,0.00304637358001627,1363,1067,652,399,0.611059044048735,0.373945641986879,0.00347688377367344
"08031628",1154,854,228,1554,9,108,1330,97,10,0.062419562,0.740034662045061,0.197573656845754,0.00347726519420255,1657,1150,806,320,0.700869565217391,0.278260869565217,0.00374734427340624
"08031629",756,546,161,855,10,15,806,17,7,0.019883041,0.722222222222222,0.212962962962963,0.00227800042185193,896,704,447,244,0.634943181818182,0.346590909090909,0.00229402640737217
"08031630",744,543,166,860,25,17,787,20,11,0.023255814,0.729838709677419,0.223118279569892,0.00224184168499714,888,698,473,215,0.677650429799427,0.308022922636103,0.0022744750459457
"08031631",1515,1110,271,2304,28,248,1833,176,19,0.076388889,0.732673267326733,0.178877887788779,0.00456504052791756,2566,1469,1019,414,0.693669162695711,0.281824370319946,0.00478682498924675
"08031632",978,678,232,1219,14,2,1175,28,NA,0.022969647,0.693251533742331,0.23721881390593,0.00294693705366559,1314,918,605,283,0.659041394335512,0.308278867102396,0.0029913582982495
"08031633",968,684,225,1137,9,1,1110,17,NA,0.014951627,0.706611570247934,0.232438016528926,0.00291680477295327,1307,980,599,354,0.611224489795918,0.361224489795918,0.00319338903298966
"08031634",745,443,268,873,16,NA,835,21,1,0.024054983,0.594630872483221,0.359731543624161,0.00224485491306837,951,740,369,361,0.498648648648649,0.487837837837838,0.00241133457593097
"08031635",1098,609,409,1323,18,7,1265,28,5,0.021164021,0.554644808743169,0.372495446265938,0.00330852442221352,1104,896,394,495,0.439732142857143,0.552455357142857,0.00291966997301912
"08031636",1068,773,226,1268,8,NA,1234,26,NA,0.020504732,0.723782771535581,0.211610486891386,0.00321812758007654,1424,1027,660,351,0.642648490749757,0.341772151898734,0.00334654136416366
"08031637",1023,626,317,1211,10,2,1187,9,3,0.007431874,0.611925708699902,0.309872922776149,0.00308253231687106,1266,1008,562,424,0.557539682539683,0.420634920634921,0.00328462871964651
"08031638",580,362,170,678,11,1,654,10,2,0.014749263,0.624137931034483,0.293103448275862,0.00174767228131497,732,578,329,241,0.569204152249135,0.416955017301038,0.00188344781741635
"08031639",960,677,217,1137,12,1,1086,38,NA,0.033421284,0.705208333333333,0.226041666666667,0.0028926989483834,1274,975,607,358,0.622564102564103,0.367179487179487,0.00317709623180094
"08031640",1235,805,368,1510,16,4,1463,19,8,0.012582781,0.651821862348178,0.297975708502024,0.0037213366679724,1633,1216,688,507,0.565789473684211,0.416940789473684,0.00396240924909738
"08031641",1167,793,284,1512,27,62,1305,99,19,0.06547619,0.679520137103685,0.243359040274207,0.00351643715912857,1618,1105,753,314,0.681447963800905,0.284162895927602,0.00360070906270773
"08031642",940,622,277,1146,9,76,1028,25,8,0.021815009,0.661702127659574,0.29468085106383,0.00283243438695875,1191,957,593,349,0.619644723092999,0.364681295715778,0.00311844214752154
"08031643",716,533,131,992,13,256,645,67,11,0.067540323,0.744413407821229,0.182960893854749,0.00215747129900262,1735,1189,848,315,0.713204373423045,0.264928511354079,0.00387442812267828
"08031644",942,584,330,1117,6,61,1004,42,4,0.037600716,0.619957537154989,0.35031847133758,0.00283846084310121,1793,1388,763,568,0.54971181556196,0.409221902017291,0.00452288160998944
"08031645",850,517,282,1028,6,48,936,37,1,0.035992218,0.608235294117647,0.331764705882353,0.0025612438605478,627,463,279,164,0.602591792656587,0.354211663066955,0.00150871339007573
"08031646",1114,797,232,1898,38,510,983,283,84,0.14910432,0.715439856373429,0.208258527827648,0.00335673607135324,2202,1166,887,235,0.760720411663808,0.201543739279588,0.00379948123721015
"08031647",953,660,216,1315,25,120,1075,73,22,0.055513308,0.692549842602308,0.226652675760756,0.00287160635188477,1366,930,634,252,0.681720430107527,0.270967741935484,0.00303046102110244
"08031648",1031,742,204,1363,8,161,1067,101,26,0.074101247,0.719689621726479,0.197866149369544,0.00310663814144093,1382,964,703,217,0.729253112033195,0.225103734439834,0.00314125206918575
"08031649",1289,923,260,2294,18,478,1544,212,42,0.092414996,0.716058960434445,0.201706749418154,0.00388405098381897,2704,1343,1020,263,0.759493670886076,0.195830230826508,0.00437624639929094
"08031650",894,627,225,1259,16,149,970,93,31,0.073868149,0.701342281879195,0.251677852348993,0.00269382589568204,1379,892,608,268,0.681614349775785,0.300448430493274,0.00290663573206814
"08031651",956,627,246,1693,20,213,1269,162,29,0.095688128,0.655857740585774,0.257322175732218,0.00288064603609847,2858,1350,876,427,0.648888888888889,0.316296296296296,0.00439905632095515
"08031652",926,577,309,1096,7,51,998,37,3,0.033759124,0.623110151187905,0.333693304535637,0.00279024919396149,NA,NA,NA,NA,NA,NA,NA
"08031701",895,777,75,1396,5,950,281,145,15,0.103868195,0.868156424581006,0.0837988826815642,0.00269683912375328,1469,874,789,47,0.902745995423341,0.0537757437070938,0.00284798164778874
"08031702",1184,932,178,1359,24,87,1134,85,29,0.06254599,0.787162162162162,0.150337837837838,0.00356766203633953,1729,1545,1112,412,0.719741100323625,0.266666666666667,0.00503447556731534
"08031703",593,466,78,733,18,100,503,77,35,0.105047749,0.785834738617201,0.131534569983137,0.001786844246241,652,552,411,131,0.744565217391304,0.23731884057971,0.00179872525123499
"08031704",650,564,51,922,7,498,293,111,13,0.120390456,0.867692307692308,0.0784615384615385,0.00195859824630126,997,660,586,45,0.887878787878788,0.0681818181818182,0.00215064975691141
"08031705",1027,789,177,1259,25,69,1083,65,17,0.051628276,0.7682570593963,0.172346640701071,0.00309458522915599,1154,837,619,203,0.739545997610514,0.242532855436081,0.00272741491899219
"08031706",958,808,93,1110,40,69,886,81,34,0.072972973,0.843423799582463,0.0970772442588727,0.00288667249224094,1096,873,655,205,0.75028636884307,0.234822451317297,0.002844723087551
"08031707",783,615,126,918,38,44,750,71,15,0.077342048,0.78544061302682,0.160919540229885,0.00235935757977521,921,785,562,210,0.715923566878981,0.267515923566879,0.00255796978662948
"08031708",1264,1014,168,1482,40,89,1216,96,41,0.064777328,0.802215189873418,0.132911392405063,0.00380872028203815,698,611,462,134,0.756137479541735,0.219312602291326,0.00199098030526192
"08031709",662,576,41,899,6,428,373,82,10,0.091212458,0.870090634441088,0.0619335347432024,0.00199475698315606,1000,672,598,49,0.889880952380952,0.0729166666666667,0.00218975247976434
"08031710",779,658,75,983,23,90,795,59,16,0.060020346,0.844672657252888,0.0962772785622593,0.00234730466749028,1031,769,604,143,0.785435630689207,0.185955786736021,0.00250583282282556
"08031711",378,327,34,495,4,93,365,25,8,0.050505051,0.865079365079365,0.0899470899470899,0.00113900021092596,555,373,321,38,0.86058981233244,0.101876675603217,0.00121544296867872
"08031712",207,160,24,299,3,85,156,51,4,0.170568562,0.772946859903382,0.115942028985507,0.000623738210745171,319,217,180,31,0.829493087557604,0.142857142857143,0.000707107571590568
"08031713",865,709,93,1113,29,101,908,60,15,0.053908356,0.819653179190751,0.107514450867052,0.0026064422816163,932,781,604,166,0.77336747759283,0.212548015364917,0.0025449355456785
"08031714",744,642,66,1345,6,639,264,396,40,0.294423792,0.862903225806452,0.0887096774193548,0.00224184168499714,1466,817,720,58,0.881272949816401,0.0709914320685435,0.0026622437142373
"08031715",730,617,89,1151,16,412,216,465,42,0.403996525,0.845205479452055,0.121917808219178,0.00219965649199988,1242,765,663,73,0.866666666666667,0.0954248366013072,0.00249279858187458
"08031716",635,525,80,1067,1,270,235,516,45,0.483598875,0.826771653543307,0.125984251968504,0.00191339982523277,1085,579,497,58,0.858376511226252,0.100172711571675,0.0018867063776541
"08031717",704,600,76,1187,13,386,219,527,42,0.443976411,0.852272727272727,0.107954545454545,0.00212131256214783,1212,674,584,57,0.86646884272997,0.0845697329376855,0.00219626960023983
"08031718",719,621,71,1242,5,499,212,499,27,0.401771337,0.863699582753825,0.0987482614742698,0.00216651098321632,1266,745,631,61,0.846979865771812,0.0818791946308725,0.00242762737711969
"08031719",667,589,55,1065,3,524,170,315,53,0.295774648,0.883058470764618,0.0824587706146927,0.00200982312351222,1116,710,636,43,0.895774647887324,0.0605633802816901,0.00231357776879863
"08031720",690,602,64,1288,18,647,160,420,43,0.326086957,0.872463768115942,0.0927536231884058,0.00207912736915057,1311,730,648,50,0.887671232876712,0.0684931506849315,0.00237874897355353
"08031721",670,587,64,986,6,589,98,252,41,0.255578093,0.876119402985075,0.0955223880597015,0.00201886280772592,1036,720,646,38,0.897222222222222,0.0527777777777778,0.00234616337117608
"08031722",778,679,75,1162,34,417,215,451,45,0.388123924,0.872750642673522,0.096401028277635,0.00234429143941905,1171,743,655,54,0.881561238223419,0.072678331090175,0.0024211102566442
"08031723",782,683,70,1106,21,347,151,550,37,0.497287523,0.873401534526854,0.0895140664961637,0.00235634435170398,1089,686,586,66,0.854227405247813,0.0962099125364431,0.00223537232309276
"08031724",719,625,77,1086,26,502,220,299,39,0.275322284,0.869262865090403,0.107093184979138,0.00216651098321632,1121,741,649,68,0.875843454790823,0.0917678812415655,0.00241459313616872
"08031725",706,589,79,1185,11,541,180,412,41,0.347679325,0.834277620396601,0.111898016997167,0.00212733901829029,1220,699,610,62,0.872675250357654,0.0886981402002861,0.00227773360618344
"08031726",725,629,65,1131,23,532,205,336,35,0.297082228,0.867586206896552,0.0896551724137931,0.00218459035164372,1208,738,637,56,0.863143631436314,0.0758807588075881,0.00240481745545548
"08031727",832,653,132,1212,47,299,361,479,26,0.395214521,0.784855769230769,0.158653846153846,0.00250700575526562,1155,816,628,162,0.769607843137255,0.198529411764706,0.00265898515399956
"08031728",811,608,159,1326,16,309,469,498,34,0.375565611,0.749691738594328,0.196054254007398,0.00244372796576973,1513,843,648,152,0.768683274021352,0.180308422301305,0.00274696628041866
"08031729",1195,859,250,1493,88,418,555,357,75,0.239115874,0.718828451882845,0.209205020920502,0.00360080754512309,1049,745,578,142,0.775838926174497,0.190604026845638,0.00242762737711969
"08031730",1197,837,279,1547,64,490,617,317,59,0.204912734,0.699248120300752,0.233082706766917,0.00360683400126556,1224,886,647,219,0.730248306997743,0.247178329571106,0.00288708437064168
"08031731",1159,832,256,1553,69,535,515,355,79,0.228589826,0.71786022433132,0.220880069025022,0.00349233133455871,1226,979,721,228,0.736465781409602,0.232890704800817,0.00319013047275192
"08031732",715,556,126,1031,50,448,235,248,50,0.240543162,0.777622377622378,0.176223776223776,0.00215445807093139,998,738,588,120,0.796747967479675,0.16260162601626,0.00240481745545548
"08031733",988,699,219,1618,50,439,732,331,66,0.204573548,0.70748987854251,0.22165991902834,0.00297706933437792,1361,595,408,163,0.685714285714286,0.273949579831933,0.00193884334145801
"08031734",920,717,146,1494,27,588,337,454,88,0.303882195,0.779347826086957,0.158695652173913,0.00277216982553409,1471,901,702,158,0.779134295227525,0.175360710321865,0.00293596277420784
"08031735",760,583,142,1125,11,446,304,309,55,0.274666667,0.767105263157895,0.186842105263158,0.00229005333413686,1214,765,609,135,0.796078431372549,0.176470588235294,0.00249279858187458
"08031736",640,478,124,961,55,376,267,223,40,0.232049948,0.746875,0.19375,0.00192846596558894,1013,667,523,120,0.784107946026987,0.179910044977511,0.00217345967857562
"08031737",755,554,156,1125,36,440,318,289,42,0.256888889,0.733774834437086,0.206622516556291,0.0022749871937807,1176,736,583,131,0.792119565217391,0.177989130434783,0.00239830033497999
"08031738",792,624,132,1100,27,451,297,257,68,0.233636364,0.787878787878788,0.166666666666667,0.00238647663241631,1113,772,622,122,0.805699481865285,0.158031088082902,0.0025156085035388
"08031739",739,566,147,1066,33,439,263,273,58,0.256097561,0.765899864682003,0.198917456021651,0.00222677554464097,1095,702,568,114,0.809116809116809,0.162393162393162,0.00228750928689668
"08031740",755,606,125,1070,50,429,293,247,51,0.230841121,0.802649006622517,0.165562913907285,0.0022749871937807,1162,769,639,107,0.830949284785436,0.139141742522757,0.00250583282282556
"08031741",788,613,122,1185,36,418,311,363,57,0.306329114,0.777918781725888,0.154822335025381,0.00237442372013138,1246,762,607,125,0.796587926509186,0.164041994750656,0.00248302290116135
"08031742",575,398,122,882,6,362,355,147,12,0.166666667,0.692173913043478,0.212173913043478,0.00173260614095881,820,557,393,149,0.70556552962298,0.267504488330341,0.00181501805242372
"08031743",862,686,118,950,33,47,790,59,21,0.062105263,0.795823665893271,0.136890951276102,0.0025974025974026,NA,NA,NA,NA,NA,NA,NA
"08031744",2463,1847,440,2538,84,162,2035,202,55,0.079590229,0.749898497766951,0.178643930166464,0.00742158073944617,NA,NA,NA,NA,NA,NA,NA
"08031801",690,594,32,1143,5,176,586,364,12,0.318460192,0.860869565217391,0.0463768115942029,0.00207912736915057,1130,619,519,55,0.838449111470113,0.0888529886914378,0.00201704878716388
"08031802",742,661,33,1099,8,244,620,221,6,0.201091902,0.890835579514825,0.0444743935309973,0.00223581522885467,1208,715,617,55,0.862937062937063,0.0769230769230769,0.00232987056998736
"08031803",621,516,52,1042,2,260,458,311,11,0.298464491,0.830917874396135,0.0837359098228663,0.00187121463223551,1010,599,504,60,0.841402337228714,0.10016694490818,0.00195187758240899
"08031804",677,591,38,999,3,280,547,166,3,0.166166166,0.872968980797637,0.0561299852289513,0.00203995540422455,1036,628,548,43,0.872611464968153,0.0684713375796178,0.00204637582930358
"08031805",652,546,43,1050,4,335,507,192,12,0.182857143,0.837423312883436,0.0659509202453988,0.00196462470244373,1088,634,542,63,0.854889589905363,0.0993690851735016,0.00206592719073005
"08031806",1373,1154,130,2033,17,1130,605,218,63,0.107230694,0.840495265841224,0.0946831755280408,0.00413716214180251,1658,1065,929,94,0.872300469483568,0.0882629107981221,0.00347036665319795
"08031807",934,843,42,1466,4,1039,273,124,26,0.084583902,0.902569593147752,0.0449678800856531,0.00281435501853135,1552,964,893,30,0.926348547717842,0.0311203319502075,0.00314125206918575
"08031808",906,791,72,1552,4,1072,295,162,19,0.104381443,0.873068432671082,0.0794701986754967,0.00272998463253684,1714,965,863,60,0.894300518134715,0.0621761658031088,0.0031445106294235
"08031809",677,489,130,1229,11,194,850,143,31,0.11635476,0.722304283604136,0.192023633677991,0.00203995540422455,974,547,382,144,0.69835466179159,0.263254113345521,0.00178243245004627
"08031810",964,782,119,1450,12,298,930,176,34,0.12137931,0.811203319502075,0.12344398340249,0.00290475186066833,1588,946,745,150,0.787526427061311,0.158562367864693,0.00308259798490635
"08031811",885,753,62,1316,14,222,836,218,26,0.165653495,0.850847457627119,0.0700564971751412,0.00266670684304095,1501,825,721,75,0.873939393939394,0.0909090909090909,0.00268831219613926
"08031812",883,731,84,1252,10,222,902,110,8,0.087859425,0.827859569648924,0.0951302378255946,0.00266068038689848,1494,836,711,88,0.850478468899522,0.105263157894737,0.00272415635875445
"08031813",833,742,37,1309,10,318,784,190,7,0.145148969,0.890756302521008,0.0444177671068427,0.00251001898333685,1398,777,683,58,0.879021879021879,0.0746460746460746,0.00253190130472752
"08031814",724,643,39,1057,2,275,679,95,6,0.08987701,0.888121546961326,0.0538674033149171,0.00218157712357248,1159,702,622,53,0.886039886039886,0.0754985754985755,0.00228750928689668
"08031815",726,643,37,981,6,191,684,88,12,0.089704383,0.885674931129477,0.0509641873278237,0.00218760357971495,1116,686,598,58,0.871720116618076,0.0845481049562682,0.00223537232309276
"08031816",697,585,60,938,7,191,672,63,5,0.067164179,0.839311334289814,0.0860832137733142,0.0021002199656492,1081,688,590,78,0.857558139534884,0.113372093023256,0.00224188944356825
"08031817",764,640,78,1045,5,252,657,115,16,0.110047847,0.837696335078534,0.102094240837696,0.00230210624642179,1108,715,635,55,0.888111888111888,0.0769230769230769,0.00232987056998736
"08031818",615,539,38,902,7,279,559,50,7,0.055432373,0.876422764227642,0.0617886178861789,0.00185313526380812,929,622,560,40,0.90032154340836,0.0643086816720257,0.00202682446787711
"08031819",646,565,42,928,3,383,437,87,18,0.09375,0.874613003095975,0.065015479876161,0.00194654533401633,956,647,582,31,0.899536321483771,0.0479134466769706,0.00210828847382073
"08031820",858,749,68,1132,2,462,623,39,6,0.034452297,0.872960372960373,0.0792540792540792,0.00258534968511767,1197,870,757,80,0.870114942528736,0.0919540229885057,0.00283494740683776
"08031821",806,701,58,1038,2,504,478,44,10,0.04238921,0.869727047146402,0.0719602977667494,0.00242866182541357,1134,789,703,57,0.891001267427123,0.0722433460076046,0.00257100402758045
"08031822",875,779,53,1194,1,642,479,58,14,0.048576214,0.890285714285714,0.0605714285714286,0.00263657456232862,1258,842,770,45,0.914489311163896,0.0534441805225653,0.00274370772018092
"08031823",961,850,70,1101,5,233,827,26,10,0.023614896,0.884495317377732,0.072840790842872,0.00289571217645464,1154,891,745,126,0.836139169472503,0.141414141414141,0.0029033771718304
"08031824",888,769,73,1098,12,251,786,43,6,0.039162113,0.865990990990991,0.0822072072072072,0.00267574652725465,1228,894,753,119,0.842281879194631,0.133109619686801,0.00291315285254363
"08031825",854,728,68,1050,7,327,639,62,15,0.059047619,0.852459016393443,0.0796252927400468,0.00257329677283274,1162,890,754,110,0.847191011235955,0.123595505617978,0.00290011861159265
"08031826",879,712,113,1371,14,188,1069,95,5,0.069292487,0.810011376564278,0.128555176336746,0.00264862747461355,1719,851,666,129,0.782608695652174,0.151586368977673,0.00277303476232062
"08031827",1049,880,81,1383,16,160,1112,81,14,0.05856833,0.838894184938036,0.0772163965681602,0.00316087624672311,1439,903,767,110,0.849390919158361,0.121816168327796,0.00294247989468333
"08031828",1147,919,116,2055,14,204,1628,189,20,0.091970803,0.801220575414124,0.101133391455972,0.00345617259770392,2291,1129,920,153,0.814880425155004,0.135518157661647,0.0036789145084136
"08031829",1170,968,114,1548,33,73,1325,95,22,0.061369509,0.827350427350427,0.0974358974358974,0.00352547684334227,1641,1054,831,199,0.78842504743833,0.188804554079696,0.00343452249058276
"08031830",984,848,79,1290,24,81,1075,100,10,0.07751938,0.861788617886179,0.0802845528455285,0.00296501642209299,1471,945,794,113,0.84021164021164,0.11957671957672,0.0030793394246686
"08031831",887,770,80,995,14,20,948,4,9,0.004020101,0.868094701240135,0.0901916572717024,0.00267273329918342,1095,900,715,166,0.794444444444444,0.184444444444444,0.0029327042139701
"08031832",899,753,107,1032,15,49,933,25,10,0.024224806,0.837597330367075,0.119021134593993,0.00270889203603821,1151,907,734,158,0.809261300992282,0.174200661521499,0.00295551413563431
"08031833",990,807,119,1152,12,33,1065,24,18,0.020833333,0.815151515151515,0.12020202020202,0.00298309579052038,1273,923,712,187,0.771397616468039,0.202600216684724,0.00300765109943822
"08031834",926,754,112,1119,26,26,1017,42,8,0.037533512,0.814254859611231,0.120950323974082,0.00279024919396149,1200,853,652,178,0.764361078546307,0.208675263774912,0.00277955188279611
"08031835",973,804,112,1135,9,41,1052,32,1,0.028193833,0.826310380267215,0.115107913669065,0.00293187091330943,1221,937,735,193,0.784418356456777,0.205976520811099,0.00305327094276665
"08031836",1107,886,152,1835,26,182,1430,170,27,0.092643052,0.800361336946703,0.137308039747064,0.00333564347485461,1933,1132,849,249,0.75,0.219964664310954,0.00368869018912684
"08031837",976,770,104,1460,16,244,988,182,30,0.124657534,0.788934426229508,0.10655737704918,0.00294091059752313,1567,898,715,138,0.796213808463252,0.153674832962138,0.00292618709349461
"08031838",876,670,122,1459,12,261,833,321,32,0.220013708,0.764840182648402,0.139269406392694,0.00263958779039986,1552,834,676,111,0.810551558752998,0.133093525179856,0.00271763923827896
"08031839",495,404,64,570,17,39,445,47,22,0.08245614,0.816161616161616,0.129292929292929,0.00149154789526019,594,481,380,94,0.79002079002079,0.195426195426195,0.00156736747435513
"08031840",502,391,80,583,21,29,459,50,24,0.085763293,0.778884462151394,0.159362549800797,0.00151264049175882,562,446,338,106,0.757847533632287,0.237668161434978,0.00145331786603407
"08031841",1079,891,87,1547,17,47,1378,96,9,0.062055591,0.825764596848934,0.0806302131603336,0.0032512730888601,1913,997,841,108,0.843530591775326,0.108324974924774,0.00324878455703132
"08031842",837,677,110,1143,10,21,1046,60,6,0.052493438,0.80884109916368,0.13142174432497,0.00252207189562178,1339,818,660,134,0.806845965770171,0.163814180929095,0.00266550227447505
"08031843",931,787,65,1271,19,42,1126,76,8,0.059795437,0.845327604726101,0.0698174006444683,0.00280531533431765,1624,911,751,132,0.82436882546652,0.144895718990121,0.00296854837658529
"08031844",1137,951,93,1612,17,55,1367,137,36,0.084987593,0.836411609498681,0.0817941952506596,0.00342604031699159,2004,1089,906,120,0.831955922865014,0.110192837465565,0.00354857209890382
"08031845",997,845,80,1347,21,40,1165,99,22,0.073496659,0.847542627883651,0.0802407221664995,0.00300418838701901,1613,941,763,137,0.810839532412327,0.145589798087141,0.00306630518371763
